event,operation,time,pkgSize,numSuccessors,version
rtt,add,4,84,3,5
rtt,remove,7,4182,3,6
rtt,add,5,147,3,7
rtt,remove,4,4182,3,8
rtt,add,865,4194380,3,9
rtt,remove,803,4194380,3,9
rtt,remove,7,96,3,11
rtt,add,6,1101,3,12
rtt,add,6,95,3,13
rtt,remove,5,86,3,14
rtt,add,7,95,3,15
rtt,remove,6,146,3,16
rtt,add,10,80,3,17
